Year	2	3	4	5	6	7	8	9	10	11	12	13	14	15
1992	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1993	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1994	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1995	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1996	146198	112742	22353	53507	165531	181980	108738	43328	65310	40546	38254	19843	29446	10931
1997	62682	130816	12492	23452	74342	55880	76607	82503	17640	14274	675	2238	1723	633
1998	313	78767	85715	39849	25805	23413	84825	100332	54287	24329	11334	7457	15250	576
1999	5359	23240	117170	47851	41608	76797	128677	73306	58018	64781	49890	13565	18458	12171
2000	5964	23169	14336	19960	52666	68081	83857	77513	100442	72294	71148	36599	17183	20590
2001	5026	6541	10957	1093	19766	25591	36594	51644	44407	61704	50083	86122	53952	15699
2002	9112	6646	7379	3821	8635	28215	47456	63903	103368	49964	76133	71970	25241	36765
2003	4086	8218	7368	3140	7885	7983	43821	62360	52015	34782	61735	168703	107298	39760
2004	8554	15793	11443	7399	3554	7560	6164	11686	8566	22973	25920	23199	20392	19472
2005	32526	6856	5546	5616	3772	5980	6985	13151	5803	5700	16554	34393	34987	34336
2006	125437	4833	6844	6602	4255	8486	7424	38309	3983	24756	48733	71491	13957	37991
2007	411738	213851	15844	5121	11830	3234	8884	10298	14652	7217	4200	7925	53657	19308
2008	58894	206727	142254	29386	7745	3182	2895	6352	6132	3538	3445	5380	7018	9717
2009	122459	176405	231265	82701	109509	45607	15812	2775	5807	2950	3929	22097	12431	9299
2010	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2011	422533	390888	227693	61575	56025	78022	47213	12153	3176	2049	2607	856	85	2948
2012	353610	256305	351327	173183	130446	70403	58164	40645	21408	12671	3553	1044	1568	3374
2013	299841	203094	189851	194068	164206	178236	112427	103262	92160	13848	13956	8579	2784	2857
2014	2247	20884	33295	82052	52428	94324	93771	68765	35193	56728	40647	19047	16518	3335
2015	404973	86648	53046	95737	53022	109686	46714	126156	73141	25441	19583	6569	5284	3335
2016	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2017	534647	244469	213984	215852	33595	45809	61428	62449	37597	33901	39670	37492	10364	40052
2018	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2019	93518	77195	125457	81499	62447	38668	61615	91672	178887	124876	NaN	NaN	NaN	NaN
2020	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2022	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2023	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
