Year	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
1992	0	0	0	0	0	0	0.020343938	0.040230813	0.077428375	0.14228875	0.241879375	0.369914375	0.4882875	0.58383125	0.65966875	0.7267625	0.77484375	0.81461875	0.84750625	1
1993	0	0	0	0	0	0	0.020343938	0.040230813	0.077428375	0.14228875	0.241879375	0.369914375	0.4882875	0.58383125	0.65966875	0.7267625	0.77484375	0.81461875	0.84750625	1
1994	0	0	0	0	0	0	0.020343938	0.040230813	0.077428375	0.14228875	0.241879375	0.369914375	0.4882875	0.58383125	0.65966875	0.7267625	0.77484375	0.81461875	0.84750625	1
1995	0	0	0	0	0	0	0.020343938	0.040230813	0.077428375	0.14228875	0.241879375	0.369914375	0.4882875	0.58383125	0.65966875	0.7267625	0.77484375	0.81461875	0.84750625	1
1996	0	0	0	0	0	0	0.020343938	0.040230813	0.077428375	0.14228875	0.241879375	0.369914375	0.4882875	0.58383125	0.65966875	0.7267625	0.77484375	0.81461875	0.84750625	1
1997	0	0	0	0	0	0	0.020343938	0.040230813	0.077428375	0.14228875	0.241879375	0.369914375	0.4882875	0.58383125	0.65966875	0.7267625	0.77484375	0.81461875	0.84750625	1
1998	0	0	0	0	0	0	0.020343938	0.040230813	0.077428375	0.14228875	0.241879375	0.369914375	0.4882875	0.58383125	0.65966875	0.7267625	0.77484375	0.81461875	0.84750625	1
1999	0	0	0	0	0	0	0.020343938	0.040230813	0.077428375	0.14228875	0.241879375	0.369914375	0.4882875	0.58383125	0.65966875	0.7267625	0.77484375	0.81461875	0.84750625	1
2000	0	0	0	0	0	0	0.020343938	0.040230813	0.077428375	0.14228875	0.241879375	0.369914375	0.4882875	0.58383125	0.65966875	0.7267625	0.77484375	0.81461875	0.84750625	1
2001	0	0	0	0	0	0	0.020343938	0.040230813	0.077428375	0.14228875	0.241879375	0.369914375	0.4882875	0.58383125	0.65966875	0.7267625	0.77484375	0.81461875	0.84750625	1
2002	0	0	0	0	0	0	0.020343938	0.040230813	0.077428375	0.14228875	0.241879375	0.369914375	0.4882875	0.58383125	0.65966875	0.7267625	0.77484375	0.81461875	0.84750625	1
2003	0	0	0	0	0	0	0.020343938	0.040230813	0.077428375	0.14228875	0.241879375	0.369914375	0.4882875	0.58383125	0.65966875	0.7267625	0.77484375	0.81461875	0.84750625	1
2004	0	0	0	0	0	0	0.020343938	0.040230813	0.077428375	0.14228875	0.241879375	0.369914375	0.4882875	0.58383125	0.65966875	0.7267625	0.77484375	0.81461875	0.84750625	1
2005	0	0	0	0	0	0	0.020343938	0.040230813	0.077428375	0.14228875	0.241879375	0.369914375	0.4882875	0.58383125	0.65966875	0.7267625	0.77484375	0.81461875	0.84750625	1
2006	0	0	0	0	0	0	0.020343938	0.040230813	0.077428375	0.14228875	0.241879375	0.369914375	0.4882875	0.58383125	0.65966875	0.7267625	0.77484375	0.81461875	0.84750625	1
2007	0	0	0	0	0	0	0.020343938	0.040230813	0.077428375	0.14228875	0.241879375	0.369914375	0.4882875	0.58383125	0.65966875	0.7267625	0.77484375	0.81461875	0.84750625	1
2008	0	0	0	0	0	0	0.020343938	0.040230813	0.077428375	0.14228875	0.241879375	0.369914375	0.4882875	0.58383125	0.65966875	0.7267625	0.77484375	0.81461875	0.84750625	1
2009	0	0	0	0	0	0	0.020343938	0.040230813	0.077428375	0.14228875	0.241879375	0.369914375	0.4882875	0.58383125	0.65966875	0.7267625	0.77484375	0.81461875	0.84750625	1
2010	0	0	0	0	0	0	0.020343938	0.040230813	0.077428375	0.14228875	0.241879375	0.369914375	0.4882875	0.58383125	0.65966875	0.7267625	0.77484375	0.81461875	0.84750625	1
2011	0	0	0	0	0	0	0.020343938	0.040230813	0.077428375	0.14228875	0.241879375	0.369914375	0.4882875	0.58383125	0.65966875	0.7267625	0.77484375	0.81461875	0.84750625	1
2012	0	0	0	0	0	0	0.020343938	0.040230813	0.077428375	0.14228875	0.241879375	0.369914375	0.4882875	0.58383125	0.65966875	0.7267625	0.77484375	0.81461875	0.84750625	1
2013	0	0	0	0	0	0	0.020343938	0.040230813	0.077428375	0.14228875	0.241879375	0.369914375	0.4882875	0.58383125	0.65966875	0.7267625	0.77484375	0.81461875	0.84750625	1
