Year	Catch	Pelagic	Other
1992	15590	0	15590
1993	12814	0	12814
1994	12721	0	12721
1995	10284	0	10284
1996	8075	0	8075
1997	8598	0	8598
1998	14045	0	14045
1999	11209	0	11209
2000	10075	0	10075
2001	18418	0	18418
2002	6993	9	6984
2003	2520	40	2480
2004	5493	2012	3481
2005	8465	4402	4063
2006	33261	28770	4491
2007	20219	16157	4062
2008	13096	8443	4653
2009	10246	5290	4956
2010	11924	8229	3695
2011	12962	8911	4051
2012	11059	7486	3573
2013	9389	6527	2862
2014	18426	4034	14392
2015	25570	4752	20818
2016	34754	7398	27356
2017	30783	6852	23931
2018	38046	7739	30307
2019	45640	6060	39580
2020	53656	5469	48187
2021	63479	2872	60607
2022	62196	2680	59516
2023	60466	5	60461
