Year	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
1992	5.00E-04	0.002	0.005	0.013	0.024	0.097358612	0.140841299	0.188061133	0.2370818	0.286318101	0.334546368	0.380873951	0.424691209	0.465619178	0.503459877	0.538152481	0.569736487	0.598321802	0.624065127	0.757356556
1993	5.00E-04	0.002	0.005	0.013	0.024	0.097358612	0.140841299	0.188061133	0.2370818	0.286318101	0.334546368	0.380873951	0.424691209	0.465619178	0.503459877	0.538152481	0.569736487	0.598321802	0.624065127	0.757356556
1994	5.00E-04	0.002	0.005	0.013	0.024	0.097358612	0.140841299	0.188061133	0.2370818	0.286318101	0.334546368	0.380873951	0.424691209	0.465619178	0.503459877	0.538152481	0.569736487	0.598321802	0.624065127	0.757356556
1995	5.00E-04	0.002	0.005	0.013	0.024	0.097358612	0.140841299	0.188061133	0.2370818	0.286318101	0.334546368	0.380873951	0.424691209	0.465619178	0.503459877	0.538152481	0.569736487	0.598321802	0.624065127	0.757356556
1996	5.00E-04	0.002	0.005	0.013	0.024	0.097358612	0.140841299	0.188061133	0.2370818	0.286318101	0.334546368	0.380873951	0.424691209	0.465619178	0.503459877	0.538152481	0.569736487	0.598321802	0.624065127	0.757356556
1997	5.00E-04	0.002	0.005	0.013	0.024	0.097358612	0.140841299	0.188061133	0.2370818	0.286318101	0.334546368	0.380873951	0.424691209	0.465619178	0.503459877	0.538152481	0.569736487	0.598321802	0.624065127	0.757356556
1998	5.00E-04	0.002	0.005	0.013	0.024	0.097358612	0.140841299	0.188061133	0.2370818	0.286318101	0.334546368	0.380873951	0.424691209	0.465619178	0.503459877	0.538152481	0.569736487	0.598321802	0.624065127	0.757356556
1999	5.00E-04	0.002	0.005	0.013	0.024	0.097358612	0.140841299	0.188061133	0.2370818	0.286318101	0.334546368	0.380873951	0.424691209	0.465619178	0.503459877	0.538152481	0.569736487	0.598321802	0.624065127	0.757356556
2000	5.00E-04	0.002	0.005	0.013	0.024	0.097358612	0.140841299	0.188061133	0.2370818	0.286318101	0.334546368	0.380873951	0.424691209	0.465619178	0.503459877	0.538152481	0.569736487	0.598321802	0.624065127	0.757356556
2001	5.00E-04	0.002	0.005	0.013	0.024	0.097358612	0.140841299	0.188061133	0.2370818	0.286318101	0.334546368	0.380873951	0.424691209	0.465619178	0.503459877	0.538152481	0.569736487	0.598321802	0.624065127	0.757356556
2002	5.00E-04	0.002	0.005	0.013	0.024	0.097358612	0.140841299	0.188061133	0.2370818	0.286318101	0.334546368	0.380873951	0.424691209	0.465619178	0.503459877	0.538152481	0.569736487	0.598321802	0.624065127	0.757356556
2003	5.00E-04	0.002	0.005	0.013	0.024	0.097358612	0.140841299	0.188061133	0.2370818	0.286318101	0.334546368	0.380873951	0.424691209	0.465619178	0.503459877	0.538152481	0.569736487	0.598321802	0.624065127	0.757356556
2004	5.00E-04	0.002	0.005	0.013	0.024	0.097358612	0.140841299	0.188061133	0.2370818	0.286318101	0.334546368	0.380873951	0.424691209	0.465619178	0.503459877	0.538152481	0.569736487	0.598321802	0.624065127	0.757356556
2005	5.00E-04	0.002	0.005	0.013	0.024	0.097358612	0.140841299	0.188061133	0.2370818	0.286318101	0.334546368	0.380873951	0.424691209	0.465619178	0.503459877	0.538152481	0.569736487	0.598321802	0.624065127	0.757356556
2006	5.00E-04	0.002	0.005	0.013	0.024	0.097358612	0.140841299	0.188061133	0.2370818	0.286318101	0.334546368	0.380873951	0.424691209	0.465619178	0.503459877	0.538152481	0.569736487	0.598321802	0.624065127	0.757356556
2007	5.00E-04	0.002	0.005	0.013	0.024	0.097358612	0.140841299	0.188061133	0.2370818	0.286318101	0.334546368	0.380873951	0.424691209	0.465619178	0.503459877	0.538152481	0.569736487	0.598321802	0.624065127	0.757356556
2008	5.00E-04	0.002	0.005	0.013	0.024	0.097358612	0.140841299	0.188061133	0.2370818	0.286318101	0.334546368	0.380873951	0.424691209	0.465619178	0.503459877	0.538152481	0.569736487	0.598321802	0.624065127	0.757356556
2009	5.00E-04	0.002	0.005	0.013	0.024	0.097358612	0.140841299	0.188061133	0.2370818	0.286318101	0.334546368	0.380873951	0.424691209	0.465619178	0.503459877	0.538152481	0.569736487	0.598321802	0.624065127	0.757356556
2010	5.00E-04	0.002	0.005	0.013	0.024	0.097358612	0.140841299	0.188061133	0.2370818	0.286318101	0.334546368	0.380873951	0.424691209	0.465619178	0.503459877	0.538152481	0.569736487	0.598321802	0.624065127	0.757356556
