AssessmentYear;Year;SSB;low_SSB;high_SSB;F;low_F;high_F;recruitment;low_recruitment;high_recruitment
2022;1992;272.8322587;199.8795551;372.4114823;0.042;0.03;0.058;430;547;338
2022;1993;323.6331561;243.4002025;430.3136098;0.031;0.023;0.041;289;365;230
2022;1994;408.0517568;313.627125;530.9050876;0.027;0.02;0.036;210;264;166
2022;1995;469.9268492;365.8111264;603.6755792;0.02;0.015;0.027;200;251;159
2022;1996;388.9727273;297.7065292;508.2178848;0.014;0.011;0.018;160;201;127
2022;1997;478.3728969;375.2537977;609.8289474;0.013;0.01;0.017;111;140;89
2022;1998;540.768161;428.6964056;682.1382222;0.019;0.015;0.024;57;72;46
2022;1999;608.7965109;488.6066862;758.5512072;0.014;0.011;0.018;46;59;37
2022;2000;705.4793696;571.9553155;870.1748674;0.011;0.009;0.014;37;46;29
2022;2001;655.0420539;529.1232026;810.926624;0.02;0.016;0.025;36;46;28
2022;2002;738.944118;602.4495025;906.363782;0.007;0.006;0.009;42;54;33
2022;2003;815.1958287;668.724769;993.7485045;0.003;0.002;0.003;46;58;36
2022;2004;821.177347;675.6913959;997.9884892;0.006;0.004;0.007;61;78;48
2022;2005;876.7769042;723.8698107;1061.983424;0.008;0.007;0.01;118;148;93
2022;2006;863.0529645;711.7656414;1046.496735;0.042;0.031;0.057;228;289;180
2022;2007;1006.505416;832.3946963;1217.034607;0.024;0.018;0.033;341;437;266
2022;2008;943.9605151;777.3119085;1146.337068;0.018;0.014;0.025;380;491;294
2022;2009;981.5716777;809.7662533;1189.82849;0.012;0.009;0.017;382;498;292
2022;2010;934.8732873;769.7941449;1135.352963;0.013;0.01;0.018;485;642;366
2022;2011;924.0873066;761.389898;1121.55067;0.015;0.01;0.021;585;790;433
2022;2012;918.2870748;757.5017024;1113.200339;0.013;0.009;0.018;514;708;373
2022;2013;870.553957;716.6188742;1057.555445;0.011;0.008;0.016;277;395;195
2022;2014;818.775911;672.4763771;996.9034085;0.023;0.016;0.032;301;440;206
2022;2015;839.7400789;692.5006975;1018.285473;0.032;0.024;0.043;288;457;181
2022;2016;896.3204791;743.8530811;1080.039085;0.044;0.033;0.058;262;456;150
2022;2017;872.1410531;721.8214017;1053.764844;0.042;0.031;0.058;268;505;142
2022;2018;892.1074158;739.3210153;1076.468307;0.054;0.04;0.073;274;609;123
2022;2019;919.6102605;762.3833872;1109.262145;0.066;0.049;0.087;277;734;105
2022;2020;950.7704554;787.35208;1148.107031;0.085;0.063;0.116;271;936;79
2022;2021;976.9564154;806.3599986;1183.644823;0.097;0.07;0.135;266;1155;61
2021;1992;251.287;NA;NA;0.047;NA;NA;400;NA;NA
2021;1993;296.819;NA;NA;0.033;NA;NA;270;NA;NA
2021;1994;372.504;NA;NA;0.029;NA;NA;187;NA;NA
2021;1995;427.268;NA;NA;0.022;NA;NA;177;NA;NA
2021;1996;353.633;NA;NA;0.015;NA;NA;142;NA;NA
2021;1997;434.166;NA;NA;0.015;NA;NA;100;NA;NA
2021;1998;490.259;NA;NA;0.021;NA;NA;51;NA;NA
2021;1999;552.753;NA;NA;0.016;NA;NA;44;NA;NA
2021;2000;640.611;NA;NA;0.013;NA;NA;35;NA;NA
2021;2001;593.973;NA;NA;0.022;NA;NA;37;NA;NA
2021;2002;669.92;NA;NA;0.008;NA;NA;39;NA;NA
2021;2003;739.317;NA;NA;0.003;NA;NA;44;NA;NA
2021;2004;744.162;NA;NA;0.006;NA;NA;58;NA;NA
